x_by_lambda_0 z_by_lambda_0 g_tm_full_log g_tm_refl_re g_te_full_log g_te_refl_re
2.898551e-01 2.652174e+00 -5.715765e+01 8.336694e-05 -5.714918e+01 1.002865e-04
2.898551e-01 2.797101e+00 -5.792143e+01 -8.427120e-05 -5.791423e+01 -6.755474e-05
2.898551e-01 2.942029e+00 -5.862930e+01 -1.774166e-04 -5.862320e+01 -1.728565e-04
2.898551e-01 3.086957e+00 -5.928862e+01 -1.327227e-04 -5.928349e+01 -1.419431e-04
2.898551e-01 3.231884e+00 -5.990544e+01 7.296889e-06 -5.990115e+01 -7.246503e-06
2.898551e-01 3.376812e+00 -6.048474e+01 1.326598e-04 -6.048119e+01 1.239773e-04
2.898551e-01 3.521739e+00 -6.103070e+01 1.513654e-04 -6.102779e+01 1.541061e-04
2.898551e-01 3.666667e+00 -6.154684e+01 5.619136e-05 -6.154451e+01 6.699813e-05
2.898551e-01 3.811594e+00 -6.203615e+01 -7.516801e-05 -6.203433e+01 -6.508969e-05
2.898551e-01 3.956522e+00 -6.250123e+01 -1.427427e-04 -6.249986e+01 -1.406507e-04
2.898551e-01 4.101449e+00 -6.294429e+01 -9.978463e-05 -6.294332e+01 -1.063269e-04
2.898551e-01 4.246377e+00 -6.336727e+01 1.547871e-05 -6.336666e+01 6.007520e-06
2.898551e-01 4.391304e+00 -6.377186e+01 1.129633e-04 -6.377157e+01 1.078009e-04
2.898551e-01 4.536232e+00 -6.415956e+01 1.206495e-04 -6.415955e+01 1.231422e-04
2.898551e-01 4.681159e+00 -6.453168e+01 3.739310e-05 -6.453193e+01 4.495235e-05
2.898551e-01 4.826087e+00 -6.488940e+01 -6.981750e-05 -6.488988e+01 -6.323813e-05
2.898551e-01 4.971014e+00 -6.523376e+01 -1.193442e-04 -6.523445e+01 -1.184943e-04
2.898551e-01 5.115942e+00 -6.556571e+01 -7.673598e-05 -6.556658e+01 -8.171311e-05
2.898551e-01 5.260870e+00 -6.588608e+01 2.167890e-05 -6.588711e+01 1.507200e-05
2.898551e-01 5.405797e+00 -6.619563e+01 9.931293e-05 -6.619682e+01 9.609925e-05
2.898551e-01 5.550725e+00 -6.649506e+01 9.863991e-05 -6.649638e+01 1.009023e-04
2.898551e-01 5.695652e+00 -6.678499e+01 2.358025e-05 -6.678643e+01 2.918178e-05
2.898551e-01 5.840580e+00 -6.706599e+01 -6.610266e-05 -6.706754e+01 -6.158750e-05
2.898551e-01 5.985507e+00 -6.733858e+01 -1.021410e-04 -6.734023e+01 -1.019717e-04
2.898551e-01 6.130435e+00 -6.760325e+01 -5.952677e-05 -6.760499e+01 -6.348349e-05
2.898551e-01 6.275362e+00 -6.786042e+01 2.639989e-05 -6.786224e+01 2.157721e-05
2.898551e-01 6.420290e+00 -6.811051e+01 8.900213e-05 -6.811240e+01 8.696425e-05
2.898551e-01 6.565217e+00 -6.835388e+01 8.184734e-05 -6.835583e+01 8.390123e-05
2.898551e-01 6.710145e+00 -6.859087e+01 1.298744e-05 -6.859289e+01 1.730287e-05
2.898551e-01 6.855072e+00 -6.882182e+01 -6.317176e-05 -6.882388e+01 -5.997307e-05
2.898551e-01 7.000000e+00 -6.904700e+01 -8.869962e-05 -6.904911e+01 -8.892283e-05

4.347826e-01 -3.000000e+00 -7.149214e+01 6.905357e-07 -7.154690e+01 -1.260256e-05
4.347826e-01 -2.855072e+00 -7.081463e+01 -1.053141e-04 -7.087225e+01 -1.052526e-04
4.347826e-01 -2.710145e+00 -7.012879e+01 -1.148413e-06 -7.018955e+01 1.544199e-05
4.347826e-01 -2.565217e+00 -6.943412e+01 1.233747e-04 -6.949834e+01 1.233862e-04
4.347826e-01 -2.420290e+00 -6.873004e+01 2.089744e-06 -6.879811e+01 -1.879439e-05
4.347826e-01 -2.275362e+00 -6.801595e+01 -1.451264e-04 -6.808829e+01 -1.453261e-04
4.347826e-01 -2.130435e+00 -6.729118e+01 -3.836575e-06 -6.736830e+01 2.271009e-05
4.347826e-01 -1.985507e+00 -6.655499e+01 1.714909e-04 -6.663749e+01 1.721007e-04
4.347826e-01 -1.840580e+00 -6.580658e+01 6.914566e-06 -6.589516e+01 -2.720698e-05
4.347826e-01 -1.695652e+00 -6.504507e+01 -2.036603e-04 -6.514058e+01 -2.051044e-04
4.347826e-01 -1.550725e+00 -6.426952e+01 -1.219234e-05 -6.437295e+01 3.222559e-05
4.347826e-01 -1.405797e+00 -6.347886e+01 2.431721e-04 -6.359145e+01 2.462646e-04
4.347826e-01 -1.260870e+00 -6.267198e+01 2.112796e-05 -6.279522e+01 -3.753550e-05
4.347826e-01 -1.115942e+00 -6.184766e+01 -2.919744e-04 -6.198340e+01 -2.983049e-04
4.347826e-01 -9.710145e-01 -6.100460e+01 -3.621309e-05 -6.115517e+01 4.253699e-05
4.347826e-01 -8.260870e-01 -6.014146e+01 3.524069e-04 -6.030983e+01 3.651602e-04
4.347826e-01 -6.811594e-01 -5.925690e+01 6.177799e-05 -5.944690e+01 -4.582633e-05
4.347826e-01 -5.362319e-01 -5.834968e+01 -4.268491e-04 -5.856631e+01 -4.526292e-04
4.347826e-01 -3.913043e-01 -5.741882e+01 -1.054049e-04 -5.766876e+01 4.420408e-05
4.347826e-01 -2.463768e-01 -5.646387e+01 5.162779e-04 -5.675621e+01 5.693230e-04
4.347826e-01 -1.014493e-01 -5.548543e+01 1.800223e-04 -5.583272e+01 -3.032054e-05
4.347826e-01 4.347826e-02 -5.350312e+01 -3.017019e-04 -5.433888e+01 -5.138966e-04
4.347826e-01 1.884058e-01 -4.961320e+01 1.700524e-04 -4.987621e+01 -1.095496e-06
4.347826e-01 3.333333e-01 -4.868283e+01 4.584101e-04 -4.843336e+01 4.060467e-04
4.347826e-01 4.782609e-01 -4.895435e+01 4.144795e-04 -4.876213e+01 4.698880e-04
4.347826e-01 6.231884e-01 -4.724921e+01 1.116476e-04 -4.740996e+01 2.079657e-04
4.347826e-01 7.681159e-01 -4.498945e+01 -2.204757e-04 -4.508424e+01 -1.537299e-04
4.347826e-01 9.130435e-01 -4.396394e+01 -3.597309e-04 -4.393588e+01 -3.558679e-04
4.347826e-01 1.057971e+00 -4.416824e+01 -2.367803e-04 -4.408926e+01 -2.820238e-04
4.347826e-01 1.202899e+00 -4.524411e+01 3.395396e-05 -4.516087e+01 -1.933792e-05
4.347826e-01 1.347826e+00 -4.675257e+01 2.498133e-04 -4.667955e+01 2.251339e-04
4.347826e-01 1.492754e+00 -4.835165e+01 2.668946e-04 -4.829060e+01 2.809468e-04
4.347826e-01 1.637681e+00 -4.987556e+01 9.369402e-05 -4.982515e+01 1.291115e-04
4.347826e-01 1.782609e+00 -5.127144e+01 -1.288893e-04 -5.122991e+01 -1.001920e-04
4.347826e-01 1.927536e+00 -5.253463e+01 -2.381694e-04 -5.250044e+01 -2.344636e-04
4.347826e-01 2.072464e+00 -5.367672e+01 -1.663553e-04 -5.364858e+01 -1.857185e-04
4.347826e-01 2.217391e+00 -5.471298e+01 1.929597e-05 -5.468984e+01 -5.830463e-06
4.347826e-01 2.362319e+00 -5.565804e+01 1.754458e-04 -5.563906e+01 1.629422e-04
4.347826e-01 2.507246e+00 -5.652468e+01 1.914353e-04 -5.650918e+01 1.982905e-04
4.347826e-01 2.652174e+00 -5.732365e+01 6.649182e-05 -5.731108e+01 8.496193e-05
4.347826e-01 2.797101e+00 -5.806391e+01 -9.780330e-05 -5.805382e+01 -8.242599e-05
4.347826e-01 2.942029e+00 -5.875293e+01 -1.785136e-04 -5.874492e+01 -1.766684e-04
4.347826e-01 3.086957e+00 -5.939690e+01 -1.223031e-04 -5.939068e+01 -1.334558e-04
4.347826e-01 3.231884e+00 -6.000105e+01 2.029508e-05 -5.999635e+01 5.802144e-06
4.347826e-01 3.376812e+00 -6.056977e+01 1.386236e-04 -6.056637e+01 1.315734e-04
4.347826e-01 3.521739e+00 -6.110680e+01 1.468939e-04 -6.110453e+01 1.514188e-04
4.347826e-01 3.666667e+00 -6.161534e+01 4.575029e-05 -6.161403e+01 5.720941e-05
4.347826e-01 3.811594e+00 -6.209813e+01 -8.336270e-05 -6.209765e+01 -7.403371e-05
4.347826e-01 3.956522e+00 -6.255756e+01 -1.430298e-04 -6.255780e+01 -1.423274e-04
4.347826e-01 4.101449e+00 -6.299571e+01 -9.282817e-05 -6.299657e+01 -1.003109e-04
4.347826e-01 4.246377e+00 -6.341438e+01 2.385744e-05 -6.341578e+01 1.449453e-05
4.347826e-01 4.391304e+00 -6.381518e+01 1.165283e-04 -6.381704e+01 1.122864e-04
