x_by_lambda_0 z_by_lambda_0 G_EJ_xx G_HJ_xx G_EJ_xy G_HJ_xy G_EJ_xz G_HJ_xz G_EJ_yx G_HJ_yx G_EJ_yy G_HJ_yy G_EJ_yz G_HJ_yz G_EJ_zx G_HJ_zx G_EJ_zy G_HJ_zy G_EJ_zz G_HJ_zz 
-5 3.77966 0.00706811 7.32862e-22 2.90021e-18 -3.74198e-05 0.0160283 1.05245e-20 2.90021e-18 4.34041e-05 0.0307501 -7.32862e-22 -1.9629e-18 8.59394e-05 0.0149677 -8.92808e-21 -1.83302e-18 -7.29033e-05 0.0280567 0 
-5 3.94915 0.00945154 -4.9016e-22 3.32739e-18 -5.17121e-05 0.0133917 8.93498e-21 3.32739e-18 4.77097e-05 0.0366218 4.9016e-22 -1.64001e-18 7.29597e-05 0.0153945 -1.00269e-20 -1.88529e-18 -8.18758e-05 0.0240245 0 
-5 4.11864 0.00886876 -1.35591e-21 2.69287e-18 -4.84514e-05 0.00681868 4.93164e-21 2.69287e-18 3.73795e-05 0.0308577 1.35591e-21 -8.35048e-19 4.02699e-05 0.0110266 -8.01006e-21 -1.35037e-18 -6.54071e-05 0.0137077 0 
-5 4.28814 0.00444129 -1.43045e-21 1.04746e-18 -2.3803e-05 -0.00179013 -2.67353e-22 1.04746e-18 1.21225e-05 0.0129945 1.43045e-21 2.19227e-19 -2.1831e-06 0.00239738 -3.04141e-21 -2.93595e-19 -2.4835e-05 0.000286254 0 
-5 4.45763 -0.00295401 -7.21763e-22 -1.05888e-18 1.54783e-05 -0.00966331 -5.0025e-21 -1.05888e-18 -2.13719e-05 -0.0116004 7.21763e-22 1.18341e-18 -4.08485e-05 -0.00790814 3.30762e-21 9.68467e-19 2.70088e-05 -0.0119786 0 
-5 4.62712 -0.0104885 3.26106e-22 -2.75951e-18 5.2987e-05 -0.0140815 -7.71752e-21 -2.75951e-18 -5.03241e-05 -0.0330216 -3.26106e-22 1.72449e-18 -6.30183e-05 -0.0158886 8.51606e-21 1.94579e-18 6.95389e-05 -0.0191333 0 
-5 4.79661 -0.0143755 1.09259e-21 -3.27149e-18 6.96925e-05 -0.0133904 -7.52232e-21 -3.27149e-18 -6.07708e-05 -0.0410893 -1.09259e-21 1.63986e-18 -6.14244e-05 -0.0177772 1.02144e-20 2.17708e-18 8.34067e-05 -0.0189519 0 
-5 4.9661 -0.0118347 1.14833e-21 -2.31992e-18 5.42672e-05 -0.00773431 -4.56365e-21 -2.31992e-18 -4.48904e-05 -0.0307783 -1.14833e-21 9.47179e-19 -3.7265e-05 -0.0120563 7.43586e-21 1.47647e-18 6.07184e-05 -0.0118444 0 
-5 5.13559 -0.00304456 5.09271e-22 -3.4049e-19 1.10796e-05 0.000810691 -3.66087e-23 -3.4049e-19 -6.92113e-06 -0.00582487 -5.09271e-22 -9.9281e-20 -2.98932e-07 -0.000730114 1.3211e-21 8.94132e-20 1.07876e-05 -0.000831719 0 
-5 5.30508 0.00822459 -3.84439e-22 1.69176e-18 -3.96485e-05 0.00885829 4.21771e-21 1.69176e-18 3.65093e-05 0.0220388 3.84439e-22 -1.08483e-18 3.44402e-05 0.0111104 -5.2367e-21 -1.36063e-18 -4.27609e-05 0.00953022 0 
