x_by_lambda_0 z_by_lambda_0 g_tm_full_log g_tm_refl_re g_te_full_log g_te_refl_re
1.449275e-01 6.072464e+00 -7.624642e+01 -3.271560e-04 -7.623141e+01 -3.270360e-04
1.449275e-01 6.188406e+00 -7.657529e+01 -1.282428e-04 -7.656023e+01 -1.283962e-04
1.449275e-01 6.304348e+00 -7.689758e+01 1.283981e-04 -7.688246e+01 1.280640e-04
1.449275e-01 6.420290e+00 -7.721355e+01 3.128846e-04 -7.719838e+01 3.125454e-04
1.449275e-01 6.536232e+00 -7.752343e+01 3.353673e-04 -7.750821e+01 3.351905e-04
1.449275e-01 6.652174e+00 -7.782747e+01 1.895660e-04 -7.781220e+01 1.896290e-04
1.449275e-01 6.768116e+00 -7.812586e+01 -4.664377e-05 -7.811055e+01 -4.638614e-05
1.449275e-01 6.884058e+00 -7.841883e+01 -2.525855e-04 -7.840347e+01 -2.522715e-04
1.449275e-01 7.000000e+00 -7.870655e+01 -3.262383e-04 -7.869115e+01 -3.260262e-04

2.898551e-01 -1.000000e+00 -3.338365e+03 2.756590e-166 -3.338694e+03 2.721420e-166
2.898551e-01 -8.840580e-01 -2.961096e+03 2.183268e-147 -2.961425e+03 2.157473e-147
2.898551e-01 -7.681159e-01 -2.583828e+03 1.713620e-128 -2.584155e+03 1.694760e-128
2.898551e-01 -6.521739e-01 -2.206559e+03 1.334519e-109 -2.206886e+03 1.320772e-109
2.898551e-01 -5.362319e-01 -1.829290e+03 1.032166e-90 -1.829617e+03 1.022178e-90
2.898551e-01 -4.202899e-01 -1.452022e+03 7.934410e-72 -1.452348e+03 7.862061e-72
2.898551e-01 -3.043478e-01 -1.074753e+03 6.065687e-53 -1.075078e+03 6.013454e-53
2.898551e-01 -1.884058e-01 -6.974845e+02 4.613777e-34 -6.978090e+02 4.576192e-34
2.898551e-01 -7.246377e-02 -3.202159e+02 3.493144e-15 -3.205396e+02 3.466192e-15
2.898551e-01 4.347826e-02 -5.719437e+01 -2.071988e-03 -5.728165e+01 -2.069814e-03
2.898551e-01 1.594203e-01 -4.734375e+01 -7.014770e-04 -4.737070e+01 -7.086573e-04
2.898551e-01 2.753623e-01 -4.538742e+01 7.459972e-04 -4.539734e+01 7.352309e-04
2.898551e-01 3.913043e-01 -4.723644e+01 1.634894e-03 -4.722841e+01 1.626025e-03
2.898551e-01 5.072464e-01 -5.045828e+01 1.655894e-03 -5.043770e+01 1.652154e-03
2.898551e-01 6.231884e-01 -4.588609e+01 9.178342e-04 -4.589375e+01 9.195298e-04
2.898551e-01 7.391304e-01 -4.201361e+01 -1.487431e-04 -4.202032e+01 -1.436448e-04
2.898551e-01 8.550725e-01 -4.043730e+01 -1.017521e-03 -4.043935e+01 -1.012026e-03
2.898551e-01 9.710145e-01 -4.038081e+01 -1.311376e-03 -4.037898e+01 -1.308005e-03
2.898551e-01 1.086957e+00 -4.149821e+01 -9.566488e-04 -4.149425e+01 -9.564761e-04
2.898551e-01 1.202899e+00 -4.341852e+01 -1.861033e-04 -4.341346e+01 -1.885859e-04
2.898551e-01 1.318841e+00 -4.558756e+01 5.974387e-04 -4.558172e+01 5.939189e-04
2.898551e-01 1.434783e+00 -4.767528e+01 1.023005e-03 -4.766877e+01 1.020238e-03
2.898551e-01 1.550725e+00 -4.958153e+01 9.211491e-04 -4.957440e+01 9.202753e-04
2.898551e-01 1.666667e+00 -5.130071e+01 3.859158e-04 -5.129301e+01 3.870291e-04
2.898551e-01 1.782609e+00 -5.285370e+01 -2.911212e-04 -5.284547e+01 -2.888482e-04
2.898551e-01 1.898551e+00 -5.426509e+01 -7.742558e-04 -5.425637e+01 -7.720547e-04
2.898551e-01 2.014493e+00 -5.555681e+01 -8.462000e-04 -5.554764e+01 -8.450871e-04
2.898551e-01 2.130435e+00 -5.674708e+01 -5.027051e-04 -5.673749e+01 -5.030482e-04
2.898551e-01 2.246377e+00 -5.785066e+01 6.067126e-05 -5.784068e+01 5.923133e-05
2.898551e-01 2.362319e+00 -5.887950e+01 5.560628e-04 -5.886916e+01 5.543485e-04
2.898551e-01 2.478261e+00 -5.984333e+01 7.477266e-04 -5.983265e+01 7.465823e-04
2.898551e-01 2.594203e+00 -6.075012e+01 5.621470e-04 -6.073912e+01 5.620440e-04
2.898551e-01 2.710145e+00 -6.160647e+01 1.132783e-04 -6.159517e+01 1.141405e-04
2.898551e-01 2.826087e+00 -6.241788e+01 -3.640413e-04 -6.240631e+01 -3.627362e-04
2.898551e-01 2.942029e+00 -6.318902e+01 -6.350698e-04 -6.317719e+01 -6.339939e-04
2.898551e-01 3.057971e+00 -6.392382e+01 -5.791084e-04 -6.391175e+01 -5.787500e-04
2.898551e-01 3.173913e+00 -6.462569e+01 -2.417771e-04 -6.461340e+01 -2.422309e-04
2.898551e-01 3.289855e+00 -6.529755e+01 1.963122e-04 -6.528504e+01 1.953486e-04
2.898551e-01 3.405797e+00 -6.594195e+01 5.148534e-04 -6.592924e+01 5.138943e-04
2.898551e-01 3.521739e+00 -6.656111e+01 5.635154e-04 -6.654821e+01 5.630212e-04
2.898551e-01 3.637681e+00 -6.715699e+01 3.319151e-04 -6.714392e+01 3.320787e-04
2.898551e-01 3.753623e+00 -6.773134e+01 -5.222545e-05 -6.771810e+01 -5.154517e-05
2.898551e-01 3.869565e+00 -6.828569e+01 -3.923666e-04 -6.827229e+01 -3.915457e-04
2.898551e-01 3.985507e+00 -6.882143e+01 -5.228529e-04 -6.880788e+01 -5.223007e-04
2.898551e-01 4.101449e+00 -6.933980e+01 -3.888661e-04 -6.932610e+01 -3.888261e-04
2.898551e-01 4.217391e+00 -6.984190e+01 -6.837886e-05 -6.982808e+01 -6.882603e-05
2.898551e-01 4.333333e+00 -7.032875e+01 2.720852e-04 -7.031480e+01 2.714089e-04
2.898551e-01 4.449275e+00 -7.080127e+01 4.633065e-04 -7.078720e+01 4.627482e-04
2.898551e-01 4.565217e+00 -7.126028e+01 4.169082e-04 -7.124610e+01 4.167297e-04
2.898551e-01 4.681159e+00 -7.170656e+01 1.656077e-04 -7.169228e+01 1.658655e-04
2.898551e-01 4.797101e+00 -7.214080e+01 -1.578576e-04 -7.212641e+01 -1.573231e-04
2.898551e-01 4.913043e+00 -7.256363e+01 -3.902980e-04 -7.254915e+01 -3.897683e-04
2.898551e-01 5.028986e+00 -7.297565e+01 -4.199450e-04 -7.296108e+01 -4.196780e-04
