z_by_lambda_0 V_re V_im I_re I_im Z_rel_re Z_rel_im
-0.813517 -3.711206e+01 -1.531971e+01 3.027543e-01 1.057890e-01 -3.318039e-01 -1.837700e-02
-0.806008 -3.484775e+01 -2.057053e+01 2.870146e-01 1.486671e-01 -3.318039e-01 -1.837700e-02
-0.798498 -3.184073e+01 -2.548720e+01 2.652040e-01 1.892083e-01 -3.318039e-01 -1.837700e-02
-0.790989 -2.814026e+01 -2.996471e+01 2.376687e-01 2.265532e-01 -3.318039e-01 -1.837700e-02
-0.783479 -2.381041e+01 -3.390526e+01 2.048766e-01 2.598937e-01 -3.318039e-01 -1.837700e-02
-0.775970 -1.892905e+01 -3.722044e+01 1.674098e-01 2.884901e-01 -3.318039e-01 -1.837700e-02
-0.768461 -1.358647e+01 -3.983310e+01 1.259541e-01 3.116873e-01 -3.318039e-01 -1.837700e-02
-0.760951 -7.883737e+00 -4.167912e+01 8.128740e-02 3.289293e-01 -3.318039e-01 -1.837700e-02
-0.753442 -1.930829e+00 -4.270893e+01 3.426488e-02 3.397721e-01 -3.318039e-01 -1.837700e-02
-0.745932 4.155464e+00 -4.288872e+01 -1.419691e-02 3.438944e-01 -3.318039e-01 -1.837700e-02
-0.738423 1.025380e+01 -4.220138e+01 -6.313776e-02 3.411064e-01 -3.318039e-01 -1.837700e-02
-0.730914 1.624066e+01 -4.064714e+01 -1.115725e-01 3.313551e-01 -3.318039e-01 -1.837700e-02
-0.723404 2.199285e+01 -3.824380e+01 -1.585107e-01 3.147281e-01 -3.318039e-01 -1.837700e-02
-0.715895 2.738997e+01 -3.502667e+01 -2.029765e-01 2.914540e-01 -3.318039e-01 -1.837700e-02
-0.708385 3.231692e+01 -3.104813e+01 -2.440288e-01 2.618995e-01 -3.318039e-01 -1.837700e-02
-0.700876 3.666633e+01 -2.637683e+01 -2.807810e-01 2.265648e-01 -3.318039e-01 -1.837700e-02
-0.693367 4.034083e+01 -2.109656e+01 -3.124194e-01 1.860751e-01 -3.318039e-01 -1.837700e-02
-0.685857 4.325520e+01 -1.530479e+01 -3.382213e-01 1.411702e-01 -3.318039e-01 -1.837700e-02
-0.678348 4.533830e+01 -9.110904e+00 -3.575710e-01 9.269102e-02 -3.318039e-01 -1.837700e-02
-0.670839 4.653471e+01 -2.634174e+00 -3.699739e-01 4.156435e-02 -3.318039e-01 -1.837700e-02
