z_by_lambda_0 rho_by_lambda_0 rel_err_db_tm rel_err_db_te abs_ref_tm abs_ref_te
7.246377e-01 6.480286e-01 -1.204069e+02 -1.362166e+02 3.685829e-04 4.124787e-04
7.246377e-01 7.405685e-01 -1.194784e+02 -1.358050e+02 3.536876e-04 4.132804e-04
7.246377e-01 8.463232e-01 -1.182136e+02 -1.354373e+02 3.354823e-04 4.141396e-04
7.246377e-01 9.671799e-01 -1.168485e+02 -1.355213e+02 3.136034e-04 4.149787e-04
7.246377e-01 1.105295e+00 -1.155561e+02 -1.363874e+02 2.878364e-04 4.156618e-04
7.246377e-01 1.263134e+00 -1.143514e+02 -1.387508e+02 2.582082e-04 4.159769e-04
7.246377e-01 1.443512e+00 -1.134391e+02 -1.439733e+02 2.250805e-04 4.156233e-04
7.246377e-01 1.649648e+00 -1.134037e+02 -1.378613e+02 1.892305e-04 4.142122e-04
7.246377e-01 1.885221e+00 -1.159242e+02 -1.298922e+02 1.519206e-04 4.112907e-04
7.246377e-01 2.154435e+00 -1.138782e+02 -1.245102e+02 1.150242e-04 4.063907e-04
7.246377e-01 2.462092e+00 -9.995700e+01 -1.205022e+02 8.149303e-05 3.990998e-04
7.246377e-01 2.813684e+00 -8.973624e+01 -1.173015e+02 5.698450e-05 3.891354e-04
7.246377e-01 3.215484e+00 -8.317436e+01 -1.144694e+02 5.080595e-05 3.764022e-04
7.246377e-01 3.674662e+00 -8.021377e+01 -1.117093e+02 6.249856e-05 3.610150e-04
7.246377e-01 4.199411e+00 -7.811215e+01 -1.090336e+02 7.993481e-05 3.432825e-04
7.246377e-01 4.799096e+00 -7.586132e+01 -1.064797e+02 9.624601e-05 3.236605e-04
7.246377e-01 5.484417e+00 -7.338977e+01 -1.039496e+02 1.092181e-04 3.026897e-04
7.246377e-01 6.267603e+00 -7.076607e+01 -1.014688e+02 1.183214e-04 2.809332e-04
7.246377e-01 7.162629e+00 -6.805788e+01 -9.902608e+01 1.236763e-04 2.589254e-04
7.246377e-01 8.185467e+00 -6.532294e+01 -9.664104e+01 1.256871e-04 2.371370e-04
7.246377e-01 9.354369e+00 -6.261087e+01 -9.432793e+01 1.248780e-04 2.159552e-04
7.246377e-01 1.069019e+01 -5.996593e+01 -9.210895e+01 1.218041e-04 1.956788e-04
7.246377e-01 1.221677e+01 -5.742726e+01 -9.000617e+01 1.169996e-04 1.765211e-04
7.246377e-01 1.396135e+01 -5.502749e+01 -8.803854e+01 1.109493e-04 1.586196e-04
7.246377e-01 1.595506e+01 -5.279102e+01 -8.621972e+01 1.040731e-04 1.420483e-04
7.246377e-01 1.823348e+01 -5.073288e+01 -8.455676e+01 9.672172e-05 1.268299e-04
7.246377e-01 2.083726e+01 -4.885911e+01 -8.305052e+01 8.917806e-05 1.129485e-04
7.246377e-01 2.381286e+01 -4.716815e+01 -8.169669e+01 8.166251e-05 1.003592e-04
7.246377e-01 2.721339e+01 -4.565284e+01 -8.048726e+01 7.434038e-05 8.899783e-05
7.246377e-01 3.109952e+01 -4.430235e+01 -7.941200e+01 6.733020e-05 7.878768e-05
7.246377e-01 3.554059e+01 -4.310382e+01 -7.845955e+01 6.071184e-05 6.964506e-05
7.246377e-01 4.061586e+01 -4.204358e+01 -7.761827e+01 5.453416e-05 6.148361e-05
7.246377e-01 4.641589e+01 -4.110800e+01 -7.687677e+01 4.882182e-05 5.421736e-05
7.246377e-01 5.304417e+01 -4.028397e+01 -7.622430e+01 4.358106e-05 4.776290e-05
7.246377e-01 6.061899e+01 -3.955924e+01 -7.565089e+01 3.880459e-05 4.204084e-05
7.246377e-01 6.927551e+01 -3.892254e+01 -7.514745e+01 3.447556e-05 3.697670e-05
7.246377e-01 7.916819e+01 -3.836366e+01 -7.470575e+01 3.057068e-05 3.250145e-05
7.246377e-01 9.047357e+01 -3.787340e+01 -7.431845e+01 2.706270e-05 2.855164e-05
7.246377e-01 1.033934e+02 -3.744355e+01 -7.397899e+01 2.392224e-05 2.506944e-05
7.246377e-01 1.181582e+02 -3.706683e+01 -7.368156e+01 2.111924e-05 2.200245e-05
7.246377e-01 1.350314e+02 -3.673677e+01 -7.342103e+01 1.862389e-05 1.930339e-05
7.246377e-01 1.543142e+02 -3.644765e+01 -7.319286e+01 1.640740e-05 1.692987e-05
7.246377e-01 1.763505e+02 -3.619445e+01 -7.299306e+01 1.444242e-05 1.484393e-05
7.246377e-01 2.015338e+02 -3.597275e+01 -7.281810e+01 1.270332e-05 1.301174e-05
7.246377e-01 2.303132e+02 -3.577863e+01 -7.266498e+01 1.116638e-05 1.140320e-05
